"TrueConc","BiasApprox","BiasWinP","BiasConc","CoverageApprox","CoverageWinP","CoverageConcNormal","CoverageConcBoot","TotalSampleSize","Ratio","VarRatio","ValidRuns"
0.658454300845196,3.75988130448047,-0.205593060446562,-0.205593060446491,0.54,0.935,0.68,0.94,2000,0.5,5,200
0.658454300845196,1.58254991430271,0.663326087960507,0.663326087960541,0.905,0.96,0.8,0.95,100,1,5,200
0.658454300845196,0.728348650461099,-0.10735154198064,-0.107351541980712,0.92,0.95,0.665,0.955,500,1,5,200
0.658454300845196,0.518335766299456,-0.314834430048389,-0.314834430048471,0.95,0.95,0.75,0.955,1000,1,5,200
0.658454300845196,0.849074298530428,0.0183109373942202,0.018310937395292,0.915,0.985,0.71,0.975,2000,1,5,200
0.658454300845196,-1.94089060868743,-0.29003544594643,-0.290035445946433,0.97,0.965,0.8,0.965,100,2,5,200
0.658454300845196,-1.63096013546701,0.133674172749408,0.133674172749446,0.96,0.97,0.805,0.96,500,2,5,200
0.658454300845196,-1.63906067762673,0.166367097056044,0.166367097055907,0.96,0.965,0.83,0.965,1000,2,5,200
0.658454300845196,-1.69778861547178,0.102160628208492,0.102160628207576,0.87,0.94,0.785,0.94,2000,2,5,200
0.658454300845196,-3.61667026558964,0.197613063139441,0.197613063139435,0.985,0.95,0.875,0.955,100,5,5,200
0.658454300845196,-3.85380886125545,0.186303805223327,0.186303805223297,0.955,0.955,0.9,0.95,500,5,5,200
0.658454300845196,-3.90282533939723,0.141229526273588,0.141229526274016,0.875,0.965,0.91,0.955,1000,5,5,200
0.658454300845196,-4.01833250299176,0.0279029699541256,0.0279029699548023,0.59,0.92,0.87,0.91,2000,5,5,200
